Common Date,Brazil,Indonesia,Mexico,India,China
09-09-2022,112300,7242.655762,47042.94141,17833.34961,3262.050049
13-09-2022,110794,7318.016113,47039.73828,18070.05078,3263.800049
14-09-2022,110547,7278.078125,46745.14844,18003.75,3237.540039
15-09-2022,109954,7305.601074,46769.78125,17877.40039,3199.919922
19-09-2022,111824,7195.487793,46793.58984,17622.25,3115.600098
20-09-2022,112517,7196.951172,47068.53125,17816.25,3122.409912
21-09-2022,111936,7188.313965,46992.51172,17718.34961,3117.179932
22-09-2022,114070,7218.905762,46324.92188,17629.80078,3108.909912
23-09-2022,111716,7178.583008,45395.94141,17327.34961,3088.370117
26-09-2022,109114,7127.50293,44808.55859,17016.30078,3051.22998
27-09-2022,108376,7112.449219,45006.10938,17007.40039,3093.860107
28-09-2022,108451,7077.030762,45442.21094,16858.59961,3045.070068
29-09-2022,107664,7036.198242,45102.55078,16818.09961,3041.199951
30-09-2022,110037,7040.797852,44626.80078,17094.34961,3024.389893
10-10-2022,115941,6994.39502,45457.12109,17241,2974.149902
11-10-2022,114827,6939.14502,45792.98828,16983.55078,2979.790039
13-10-2022,114300,6880.625,45766.94141,17014.34961,3016.360107
14-10-2022,112072,6814.529785,45443.35156,17185.69922,3071.98999
17-10-2022,113624,6831.115234,46220.71875,17311.80078,3084.939941
18-10-2022,115743,6834.494141,46309.23047,17486.94922,3080.959961
19-10-2022,116274,6860.416016,46217.44141,17512.25,3044.379883
20-10-2022,117171,6980.651855,46315.41016,17563.94922,3035.050049
21-10-2022,119929,7017.770996,47120.07813,17576.30078,3038.929932
24-10-2022,116013,7053.043945,47765.23828,17730.75,2977.560059
25-10-2022,114626,7048.379883,48641.26953,17656.34961,2976.280029
27-10-2022,114641,7091.76123,48892.55859,17736.94922,2982.899902
28-10-2022,114539,7056.040039,49086.30078,17786.80078,2915.929932
31-10-2022,116037,7098.890137,49922.30078,18012.19922,2893.47998
01-11-2022,116929,7052.303223,50864.85156,18145.40039,2969.199951
03-11-2022,116896,7034.573242,50215.87109,18052.69922,2997.810059
04-11-2022,118155,7045.526855,51173.75,18117.15039,3070.800049
07-11-2022,115342,7102.395996,50760.17188,18202.80078,3077.820068
09-11-2022,113580,7070.083984,50545.76172,18157,3048.169922
10-11-2022,109775,6966.836914,51031.71094,18028.19922,3036.129883
11-11-2022,112253,7089.206055,51959.19922,18349.69922,3087.290039
14-11-2022,113161,7019.39209,51785.12891,18329.15039,3083.399902
16-11-2022,110243,7014.383789,51544.94141,18409.65039,3119.97998
17-11-2022,109703,7044.98584,51360.87109,18343.90039,3115.429932
18-11-2022,108880,7082.181152,51569.71875,18307.65039,3097.23999
22-11-2022,109037,7030.587891,51760.53906,18244.19922,3088.943115
23-11-2022,108683,7054.123047,51993.94922,18267.25,3096.906982
24-11-2022,111831,7080.515137,51979.01172,18484.09961,3089.310059
25-11-2022,108977,7053.149902,51668.64063,18512.75,3101.689941
28-11-2022,108782,7017.35791,51081.32813,18562.75,3078.550049
29-11-2022,110910,7012.068848,50174.05859,18618.05078,3149.75
30-11-2022,112486,7081.312988,51684.85938,18758.34961,3151.340088
01-12-2022,110926,7020.803223,51457.55078,18812.5,3165.469971
02-12-2022,111924,7019.63916,51234.37109,18696.09961,3156.139893
05-12-2022,109401,6987.328125,50799.46094,18701.05078,3211.810059
06-12-2022,109533,6892.569824,51020.64844,18642.75,3212.530029
07-12-2022,109361,6818.751953,50725.96094,18560.5,3199.620117
08-12-2022,107245,6804.227051,51078.69922,18609.34961,3197.350098
09-12-2022,107689,6715.118164,50466.25,18496.59961,3206.949951
13-12-2022,103892,6810.315918,50333.10156,18608,3176.330078
14-12-2022,103803,6801.749023,50047.69922,18660.30078,3176.530029
15-12-2022,103738,6751.859863,49342.33984,18414.90039,3168.649902
16-12-2022,102825,6812.192871,49630.14844,18269,3167.85791
19-12-2022,104530,6779.698242,49946.10156,18420.44922,3107.120117
20-12-2022,106979,6768.315918,50139.42188,18385.30078,3073.77002
21-12-2022,107313,6820.663086,50426.26172,18199.09961,3068.409912
22-12-2022,107317,6824.432129,50097.21875,18127.34961,3054.429932
23-12-2022,109698,6800.672852,50578.08984,17806.80078,3045.865967
26-12-2022,108738,6835.808105,50273.89063,18014.59961,3065.562988
27-12-2022,108347,6923.026855,50440.01953,18132.30078,3095.570068
28-12-2022,110237,6850.52002,49648.21094,18122.5,3087.399902
29-12-2022,110031,6860.077148,49517.85938,18191,3073.699951
03-01-2023,104166,6888.757813,49050.46094,18232.55078,3116.51001
04-01-2023,105334,6813.23877,50161.26953,18042.94922,3123.52002
05-01-2023,107518,6653.84082,50805.21094,17992.15039,3155.219971
06-01-2023,108836,6684.558105,51730.5,17859.44922,3157.639893
09-01-2023,109227,6688.265137,52280.05078,18101.19922,3176.080078
10-01-2023,110912,6622.499023,52344.01953,17914.15039,3169.51001
11-01-2023,111763,6584.453125,53209,17895.69922,3161.840088
12-01-2023,111877,6629.934082,53593.85938,17858.19922,3163.449951
13-01-2023,110916,6641.830078,53576.71875,17956.59961,3195.310059
16-01-2023,109213,6688.057129,53631.89063,17894.84961,3227.592041
17-01-2023,111439,6767.339844,53128.96875,18053.30078,3224.23999
18-01-2023,112452,6765.786133,53218.82813,18165.34961,3224.409912
19-01-2023,113006,6819.907227,53382.64844,18107.84961,3240.280029
20-01-2023,112301,6874.931152,53947.03906,18027.65039,3264.810059
30-01-2023,111888,6872.480957,54521.42969,17648.94922,3269.320068
31-01-2023,113532,6839.341797,54564.26953,17662.15039,3255.669922
01-02-2023,112303,6862.257813,55018.91016,17616.30078,3284.919922
02-02-2023,109935,6890.571777,53874.91016,17610.40039,3285.669922
03-02-2023,108490,6911.731934,54049.05078,17854.05078,3263.409912
07-02-2023,107920,6935.300781,53335.51172,17721.5,3248.090088
08-02-2023,109882,6940.124023,53125.01172,17871.69922,3232.110107
09-02-2023,107783,6897.365234,52801.42969,17893.44922,3270.379883
10-02-2023,108150,6880.329102,52482.01953,17856.5,3260.669922
13-02-2023,108846,6900.140137,53050.82813,17770.90039,3284.159912
14-02-2023,107659,6941.85498,52663.12109,17929.84961,3293.280029
15-02-2023,109442,6914.538086,53422.23828,18015.84961,3280.48999
16-02-2023,109905,6895.664063,54015.82031,18035.84961,3249.030029
17-02-2023,109303,6895.713867,53789.64063,17944.19922,3224.02002
22-02-2023,107152,6809.967773,53180.98828,17554.30078,3291.149902
23-02-2023,107720,6839.454102,53085.71094,17511.25,3287.47998
24-02-2023,105873,6856.576172,52686.23828,17465.80078,3267.159912
27-02-2023,105711,6854.776855,53013.62109,17392.69922,3258.030029
28-02-2023,104932,6843.23877,52758.05859,17303.94922,3279.610107
01-03-2023,104385,6844.936035,53473.46094,17450.90039,3312.350098
02-03-2023,103326,6857.415039,53329.53125,17321.90039,3310.649902
03-03-2023,103866,6813.63623,54182.26953,17594.34961,3328.389893
06-03-2023,104700,6807.000977,53924.19141,17711.44922,3322.030029
08-03-2023,106540,6776.370117,53388.66016,17754.40039,3283.25
09-03-2023,105071,6799.794922,53426.76953,17589.59961,3276.090088
10-03-2023,103618,6765.301758,52794.53125,17412.90039,3230.080078
13-03-2023,103121,6786.955078,53012.25,17154.30078,3268.699951
14-03-2023,102932,6641.813965,52691.66016,17043.30078,3245.310059
15-03-2023,102675,6628.137207,52085.60156,16972.15039,3263.310059
16-03-2023,103435,6565.728027,52505.69922,16985.59961,3226.889893
17-03-2023,101982,6678.236816,51925.60938,17100.05078,3250.550049
21-03-2023,100998,6691.61084,52652.64844,17107.5,3255.649902
24-03-2023,98829,6762.253906,52771.12109,16945.05078,3265.649902
27-03-2023,99670,6708.933105,52851.42188,16985.69922,3251.399902
28-03-2023,101185,6760.328125,53209.10156,16951.69922,3245.379883
29-03-2023,101793,6839.436035,53882.94922,17080.69922,3240.060059
31-03-2023,101882,6805.276855,53904,17359.75,3272.860107
03-04-2023,101506,6827.174805,53896.35156,17398.05078,3296.399902
10-04-2023,101847,6771.234863,54246.53125,17624.05078,3315.360107
11-04-2023,106214,6811.313965,54604.62891,17722.30078,3313.570068
12-04-2023,106890,6798.963867,54333.12109,17812.40039,3327.179932
13-04-2023,106458,6785.598145,54695.78125,17828,3318.360107
17-04-2023,106016,6787.582031,54778.92969,17706.84961,3385.610107
18-04-2023,106163,6821.807129,54385.51953,17660.15039,3393.330078
26-04-2023,102312,6910.146973,54023.32031,17813.59961,3264.100098
27-04-2023,102923,6945.477051,54442.17188,17915.05078,3285.879883
28-04-2023,104432,6915.71582,55121.21875,18065,3323.27002
04-05-2023,102174,6844.026855,54667.21094,18255.80078,3350.459961
05-05-2023,105148,6787.630859,54937.39063,18069,3334.5
08-05-2023,106042,6769.630859,55033.12109,18264.40039,3395
09-05-2023,107114,6779.97998,55452.73047,18265.94922,3357.669922
10-05-2023,107448,6811.904785,55534.67969,18315.09961,3319.149902
11-05-2023,108256,6755.937988,55014.16016,18297,3309.550049
12-05-2023,108464,6707.763184,54948.33984,18314.80078,3272.360107
15-05-2023,109029,6711.740234,55261.42188,18398.84961,3310.73999
16-05-2023,108194,6676.563965,55180.96875,18286.5,3290.98999
17-05-2023,109460,6663.11377,55067.37109,18181.75,3284.22998
19-05-2023,110745,6700.561035,54296.05078,18203.40039,3283.540039
22-05-2023,110213,6729.646973,53466.32031,18314.40039,3296.469971
23-05-2023,109929,6736.684082,53123.21875,18348,3246.23999
24-05-2023,108800,6745.804199,53393.39844,18285.40039,3204.75
25-05-2023,110054,6704.230957,53744.67969,18321.15039,3201.26001
26-05-2023,110906,6687.000977,54025.44922,18499.34961,3212.5
29-05-2023,110333,6681.102051,54212.67188,18598.65039,3221.449951
30-05-2023,108967,6636.422852,53341.85156,18633.84961,3224.209961
31-05-2023,108335,6633.26123,52736.26172,18534.40039,3204.560059
